instruction,cqa family
FUCOMPP,FM_CMP
KORTESTD,FM_CMP
KORTESTQ,FM_CMP
KORTESTW,FM_CMP
KTESTB,FM_CMP
KTESTD,FM_CMP
KTESTQ,FM_CMP
KTESTW,FM_CMP
PCMPEQB,FM_CMP
PCMPEQD,FM_CMP
PCMPEQQ,FM_CMP
PCMPEQW,FM_CMP
PCMPESTRI,FM_CMP
PCMPESTRM,FM_CMP
PCMPGTB,FM_CMP
PCMPGTD,FM_CMP
PCMPGTQ,FM_CMP
PCMPISTRI,FM_CMP
PCMPISTRM,FM_CMP
PFCMPEQ,FM_CMP
PFCMPGE,FM_CMP
PFCMPGT,FM_CMP
PTEST,FM_CMP
REPE_CMPS,FM_CMP
REPE_SCAS,FM_CMP
REPNE_CMPS,FM_CMP
REPNE_SCAS,FM_CMP
SCAS,FM_CMP
UCOMISD,FM_CMP
UCOMISS,FM_CMP
VCMPPD,FM_CMP
VCMPPS,FM_CMP
VCMPSD,FM_CMP
VCMPSS,FM_CMP
VCOMISD,FM_CMP
VCOMISS,FM_CMP
VPCMPB,FM_CMP
VPCMPD,FM_CMP
VPCMPEQB,FM_CMP
VPCMPEQD,FM_CMP
VPCMPEQQ,FM_CMP
VPCMPEQUD,FM_CMP
VPCMPEQUQ,FM_CMP
VPCMPEQW,FM_CMP
VPCMPESTRI,FM_CMP
VPCMPGTB,FM_CMP
VPCMPGTD,FM_CMP
VPCMPGTQ,FM_CMP
VPCMPGTW,FM_CMP
VPCMPISTRI,FM_CMP
VPCMPISTRM,FM_CMP
VPCMPLED,FM_CMP
VPCMPLEQ,FM_CMP
VPCMPLEUD,FM_CMP
VPCMPLTD,FM_CMP
VPCMPLTQ,FM_CMP
VPCMPLTUD,FM_CMP
VPCMPLTUQ,FM_CMP
VPCMPNEQD,FM_CMP
VPCMPNEQQ,FM_CMP
VPCMPNEQUD,FM_CMP
VPCMPNEQUQ,FM_CMP
VPCMPNLED,FM_CMP
VPCMPNLEUD,FM_CMP
VPCMPNLEUQ,FM_CMP
VPCMPNLTD,FM_CMP
VPCMPNLTQ,FM_CMP
VPCMPNLTUD,FM_CMP
VPCMPNLTUQ,FM_CMP
VPCMPQ,FM_CMP
VPCMPUB,FM_CMP
VPCMPUD,FM_CMP
VPCMPUW,FM_CMP
VPCMPW,FM_CMP
VPCOMB,FM_CMP
VPCOMD,FM_CMP
VPCOMQ,FM_CMP
VPCOMUB,FM_CMP
VPTEST,FM_CMP
VTESTPD,FM_CMP
VUCOMISD,FM_CMP
VUCOMISS,FM_CMP
CMPPS,FM_CMP
FUCOM,FM_CMP
KORTESTB,FM_CMP
PCMPGTW,FM_CMP
TEST,FM_CMP
VPCMPESTRM,FM_CMP
VPCMPLEUQ,FM_CMP
VPCMPNLEQ,FM_CMP
VPCMPUQ,FM_CMP
VTESTPS,FM_CMP
LZCNT,FM_CNT
POPCNT,FM_CNT
TZCNT,FM_CNT
VPLZCNTD,FM_CNT
VPLZCNTQ,FM_CNT
FCOS,FM_COS
AESDECLAST,FM_CRYPTO
AESENC,FM_CRYPTO
AESENCLAST,FM_CRYPTO
AESIMC,FM_CRYPTO
AESKEYGENASSIST,FM_CRYPTO
RDSEED,FM_CRYPTO
VAESDEC,FM_CRYPTO
VAESENC,FM_CRYPTO
VAESENCLAST,FM_CRYPTO
VAESIMC,FM_CRYPTO
VAESKEYGENASSIST,FM_CRYPTO
AESDEC,FM_CRYPTO
VAESDECLAST,FM_CRYPTO
CBW,FM_CVT
CLTD,FM_CVT
CLTQ,FM_CVT
CVTDQ2PD,FM_CVT
CVTDQ2PS,FM_CVT
CVTPD2DQ,FM_CVT
CVTPD2PI,FM_CVT
CVTPD2PS,FM_CVT
CVTPI2PD,FM_CVT
CVTPI2PS,FM_CVT
CVTPS2DQ,FM_CVT
CVTPS2PI,FM_CVT
CVTSD2SI,FM_CVT
CVTSD2SS,FM_CVT
CVTSI2SD,FM_CVT
CVTSI2SS,FM_CVT
CVTSS2SD,FM_CVT
CVTSS2SI,FM_CVT
CVTTPD2DQ,FM_CVT
CVTTPD2PI,FM_CVT
CVTTPS2PI,FM_CVT
CVTTSD2SI,FM_CVT
CVTTSS2SI,FM_CVT
CWD,FM_CVT
CWTL,FM_CVT
FBLD,FM_CVT
FBSTP,FM_CVT
FILD,FM_CVT
FIST,FM_CVT
FISTP,FM_CVT
FISTTP,FM_CVT
PACKSSDW,FM_CVT
PACKUSDW,FM_CVT
PACKUSWB,FM_CVT
PF2ID,FM_CVT
PI2FD,FM_CVT
PI2FW,FM_CVT
VCVTDQ2PD,FM_CVT
VCVTPD2DQ,FM_CVT
VCVTPD2PS,FM_CVT
VCVTPD2QQ,FM_CVT
VCVTPD2UDQ,FM_CVT
VCVTPD2UQQ,FM_CVT
VCVTPH2PS,FM_CVT
VCVTPS2DQ,FM_CVT
VCVTPS2PD,FM_CVT
VCVTPS2PH,FM_CVT
VCVTPS2UDQ,FM_CVT
VCVTPS2UQQ,FM_CVT
VCVTQQ2PD,FM_CVT
VCVTQQ2PS,FM_CVT
VCVTSD2SI,FM_CVT
VCVTSD2SS,FM_CVT
VCVTSD2USI,FM_CVT
VCVTSI2SD,FM_CVT
VCVTSI2SS,FM_CVT
VCVTSS2SI,FM_CVT
VCVTSS2USI,FM_CVT
VCVTTPD2DQ,FM_CVT
VCVTTPD2QQ,FM_CVT
VCVTTPD2UDQ,FM_CVT
VCVTTPD2UQQ,FM_CVT
VCVTTPS2DQ,FM_CVT
VCVTTPS2QQ,FM_CVT
VCVTTPS2UDQ,FM_CVT
VCVTTSD2SI,FM_CVT
VCVTTSD2USI,FM_CVT
